通番号,公示年度,スキーム,分野,調査・事業名,提案法人名,代表法人所在地,外部人材（コンサルティング企業）,対象国
85,2012,普及・実証・ビジネス化事業（中小企業支援型）,廃棄物処理,ハイフォン市における医療廃棄物処理システムの普及・実証事業,入三機材株式会社,福島県,株式会社会川アジアビジネス研究所、入三機材株式会社、株式会社浜銀総合研究所,ベトナム
,,,,,,,,
,,,,,,,,
,,,,,,,,
86,2016,普及・実証・ビジネス化事業（中小企業支援型）,水の浄化・水処理,浄化槽の導入による分散型生活排水処理水準向上に関する普及・実証事業,株式会社環境分析研究所、株式会社昭和衛生センター、株式会社カンスイ 共同企業体,福島県,株式会社大和総研,ベトナム
87,2014,基礎調査,廃棄物処理,e-wasteからの有価金属回収事業調査(中小企業連携促進),株式会社アサカ理研,福島県,(なし),マレーシア
,,,,,,,,
88,2015,基礎調査,福祉,介護福祉機器製造販売事業に関する基礎調査,株式会社コスモテック,福島県,株式会社空海、株式会社コーエイ総合研究所,ベトナム
,,,,,,,,
,,,,,,,,
89,2014,基礎調査,農業,機能性野菜栽培・販売における調査(中小企業連携促進),株式会社トーヨーエネルギーファーム,福島県,(なし),ベトナム
,,,,,,,,
,,,,,,,,
90,2019,基礎調査,その他,マチュピチュ地区での3D測量技術による文化遺産の保全と活用のための基礎調査,株式会社ふたば,福島県,(なし),ペルー
91,2014,案件化調査（中小企業支援型）,環境・エネルギー,ヒマラヤ農村貧困地域における軽水力発電機導入プロジェクト案件化調査,株式会社茨城製作所,茨城県,新日本有限責任監査法人、有限責任監査法人トーマツ,ネパール
,,,,,,,,
,,,,,,,,
92,2017,案件化調査（中小企業支援型）,廃棄物処理,産業廃棄物適正管理支援のためのシステム運営事業案件化調査,株式会社JEMS,茨城県,株式会社エックス都市研究所,タイ
,,,,,,,,
,,,,,,,,
93,2016,案件化調査（中小企業支援型）,農業,農業生産性および食の安全性の向上を実現する水稲圃場情報提供システム構築のための案件化調査,株式会社ビジョンテック,茨城県,株式会社かいはつマネジメント・コンサルティング,スリランカ
,,,,,,,,
,,,,,,,,
94,2018,案件化調査（中小企業支援型）,農業,完熟堆肥による土壌改善と科学的分析に基づく高品質野菜の生産・販売体制構築に係る案件化調査(中小企業支援型),株式会社シモタ農芸,茨城県,有限会社アイエムジー,インドネシア
,,,,,,,,
95,2019,案件化調査（中小企業支援型）,農業,新品種レタスの普及と鮮度保持輸送に関する案件化調査,多田青果株式会社、株式会社ネツダン、株式会社ウォーテック 共同企業体,茨城県,【契約交渉中】,ベトナム
96,2016,普及・実証・ビジネス化事業（中小企業支援型）,環境・エネルギー,ヒマラヤ農村地域の生活水準向上に向けた軽水力発電機普及・実証事業,株式会社茨城製作所,茨城県,有限責任監査法人トーマツ,ネパール
,,,,,,,,
,,,,,,,,
97,2019,普及・実証・ビジネス化事業（中小企業支援型）,廃棄物処理,タイ国産業廃棄物適正管理支援のためのシステム運営普及・実証・ビジネス化事業【1.5億円枠】,株式会社JEMS,茨城県,【契約交渉中】,タイ
98,2014,普及・実証・ビジネス化事業（中小企業支援型）,農業,有効利用されていない縞タコの加工・衛生管理技術の普及・実証事業,株式会社あ印,茨城県,株式会社コーエイ総合研究所、国立大学法人東京海洋大学、株式会社ケンドマネジメント,インドネシア
,,,,,,,,
,,,,,,,,
99,2015,普及・実証・ビジネス化事業（中小企業支援型）,農業,市場志向型農業を可能にするサツマイモの品種、栽培・貯蔵技術の普及・実証事業,株式会社照沼勝一商店,茨城県,株式会社イースクエア,タンザニア
,,,,,,,,
,,,,,,,,
100,2019,基礎調査,廃棄物処理,「RECYINT」ビジネスモデルの市場参入可能性にかかる基礎調査,株式会社ツルオカ,茨城県,株式会社建設技研インターナショナル,フィリピン
101,2014,協力準備調査（BOPビジネス連携促進）,農業,高機能性オリーブを用いた商品開発事業準備調査(BOPビジネス連携促進),株式会社アレナビオ、株式会社ヤマヒサ、株式会社アグリオリーブ小豆島、国立大学法人筑波大学 共同企業体,茨城県,(なし),チュニジア
,,,,,,,,
,,,,,,,,
102,2018,案件化調査（中小企業支援型）,環境・エネルギー,見える化技術による電力利用効率化に係る案件化調査,株式会社アンシブル、株式会社美工電気 共同企業体,栃木県,株式会社建設技研インターナショナル、株式会社CTIミャンマー,ミャンマー
103,2018,案件化調査（中小企業支援型）,水の浄化・水処理,都市給水の水質及び供給力を向上するための送配水管内洗浄案件化調査,中里建設株式会社,栃木県,株式会社建設技研インターナショナル、株式会社大和総研,インドネシア
,,,,,,,,
,,,,,,,,
104,2018,案件化調査（中小企業支援型）,福祉,"高齢者・障害者向けいす式階段昇降機・段差解消機事業の案件化調査(中小企業支援型)【5,000万円上限枠】",シンテックス株式会社,栃木県,MSCパートナーズ株式会社,ベトナム
105,2019,案件化調査（中小企業支援型）,農業,ダラット高原花卉栽培技術高度化にかかる案件化調査,オグラ金属株式会社,栃木県,日本工営株式会社,ベトナム
106,2019,案件化調査（中小企業支援型）,農業,品質と生産性を向上させる園芸用有機培土の現地製造に係る案件化調査,株式会社関東農産,栃木県,【契約交渉中】,タイ
107,2019,案件化調査（中小企業支援型）,その他,警備資機材導入による犯罪減少への貢献にかかる案件化調査,有限会社佐野機工,栃木県,【契約交渉中】,マレーシア
108,2015,基礎調査,環境・エネルギー,ハイブリッド型ロケットクッキングストーブとエコ燃料の製造販売事業基礎調査,里山エネルギー株式会社,栃木県,(なし),マダガスカル
,,,,,,,,
,,,,,,,,
109,2020,案件化調査（SDGs型）,保健医療,ウイルス迅速検出システムに関するビジネス案件化調査,キヤノンメディカルシステムズ株式会社,栃木県,【契約交渉中】,ガボン
110,2013,案件化調査（中小企業支援型）,環境・エネルギー,難民キャンプ及び農村地域におけるソーラークッカー普及事業案件化調査,昭和理化学器械株式会社、マイクライメイトジャパン株式会社 共同企業体,群馬県,(なし),エチオピア
,,,,,,,,
111,2014,案件化調査（中小企業支援型）,廃棄物処理,次世代焼却炉による医療廃棄物適正処理案件化調査,株式会社キンセイ産業,群馬県,Value Frontier株式会社、有限会社ハンサ、一般財団法人日本国際協力システム,タイ
,,,,,,,,
112,2015,案件化調査（中小企業支援型）,廃棄物処理,医療廃棄物焼却処理案件化調査,株式会社ジー・ピー・ワン,群馬県,株式会社PEARカーボンオフセット・イニシアティブ,スリランカ
,,,,,,,,
,,,,,,,,
